prefix,number_of_sites,backing_prefix
2001:1201:10::/48,2,2001:1201:10::/48
2001:1201::/48,3,2001:1201::/48
2001:1250:a000::/48,2,2001:1250:a000::/44
2001:1250:c000::/48,2,2001:1250:c000::/44
2001:1258::/48,2,2001:1258::/32
2001:12f8:2::/48,3,2001:12f8:2::/48
2001:12f8:4::/48,5,2001:12f8:4::/48
2001:12f8:8::/48,3,2001:12f8:8::/48
2001:12f8:a::/48,2,2001:12f8:a::/48
2001:12f8:c::/48,3,2001:12f8:c::/48
2001:1398:121::/48,5,2001:1398:121::/48
2001:1398:274::/48,3,2001:1398:274::/48
2001:1398:275::/48,3,2001:1398:275::/48
2001:1398:276::/48,2,2001:1398:276::/48
2001:13c7:7000::/48,2,2001:13c7:7000::/48
2001:13c7:7010::/48,5,2001:13c7:7010::/48
2001:13c7:7012::/48,4,2001:13c7:7012::/48
2001:148f:fffb::/48,7,2001:148f:fffb::/48
2001:148f:fffd::/48,12,2001:148f:fffd::/48
2001:1838:3000::/48,2,2001:1838:3000::/40
2001:1890:fff::/48,2,2001:1890::/29
2001:18b8:a114::/48,17,2001:18b8:a114::/48
2001:1900:22b3::/48,10,2001:1900::/32
2001:1960::/48,2,2001:1960::/32
2001:1978:202::/48,2,2001:1978:202::/48
2001:1998:aff::/48,4,2001:1998::/32
2001:19f0:ccc::/48,32,2001:19f0:ccc::/48
2001:19f0:ccd::/48,32,2001:19f0:ccd::/48
2001:19f0:ffff::/48,32,-
2001:200:c000::/48,3,2001:200:c000::/35
2001:240::/48,4,2001:240::/32
2001:2f8:ffff::/48,2,2001:2f8::/32
2001:300::/48,4,2001:300::/32
2001:400:ffff::/48,2,2001:400::/32
2001:418:3ff::/48,19,2001:418::/32
2001:428:101::/48,2,2001:428::/32
2001:428::/48,2,2001:428::/32
2001:44b8:1::/48,3,2001:44b8::/32
2001:450:2005::/48,2,2001:450::/32
2001:470:100::/48,9,2001:470::/32
2001:470:200::/48,10,2001:470::/32
2001:470:20::/48,19,2001:470::/32
2001:470:300::/48,11,2001:470::/32
2001:470:400::/48,10,2001:470::/32
2001:470:500::/48,10,2001:470::/32
2001:4830:6000::/48,2,2001:4830:6000::/48
2001:4860:3::/48,32,2001:4860::/32
2001:4860:4802::/48,35,2001:4860::/32
2001:4860:4805::/48,2,2001:4860:4805::/48
2001:4860:4806::/48,35,2001:4860::/32
2001:4860:4812::/48,26,2001:4860::/32
2001:4860:4826::/48,36,2001:4860:4826::/48
2001:4860:4827::/48,37,2001:4860:4827::/48
2001:4860:4828::/48,37,2001:4860:4828::/48
2001:4860:4829::/48,36,2001:4860:4829::/48
2001:4860:482a::/48,36,2001:4860:482a::/48
2001:4860:482b::/48,36,2001:4860:482b::/48
2001:4860:482c::/48,36,2001:4860:482c::/48
2001:4860:482d::/48,36,2001:4860:482d::/48
2001:4860:4860::/48,36,2001:4860::/32
2001:4860:4864::/48,34,2001:4860:4864::/48
2001:4860:6::/48,32,2001:4860::/32
2001:4978:10ae::/48,2,2001:4978:10ae::/48
2001:4998:160::/48,20,2001:4998:160::/48
2001:4998:170::/48,20,2001:4998:170::/48
2001:4998:180::/48,20,2001:4998:180::/48
2001:4998:1b0::/48,12,2001:4998:1b0::/48
2001:4998:1c0::/48,12,2001:4998:1c0::/48
2001:4b98:aaaa::/48,26,2001:4b98:aaaa::/48
2001:4b98:aaab::/48,25,2001:4b98:aaab::/48
2001:4d50:10::/48,5,2001:4d50::/32
2001:4d50:181::/48,6,2001:4d50::/32
2001:4d8f:2::/48,5,2001:4d8f::/32
2001:500:120::/48,6,2001:500:120::/48
2001:500:121::/48,5,2001:500:121::/48
2001:500:122::/48,8,2001:500:122::/48
2001:500:123::/48,14,2001:500:123::/48
2001:500:124::/48,7,2001:500:124::/48
2001:500:125::/48,7,2001:500:125::/48
2001:500:126::/48,9,2001:500:126::/48
2001:500:127::/48,14,2001:500:127::/48
2001:500:12::/48,3,2001:500:12::/48
2001:500:14::/48,44,2001:500:14::/48
2001:500:16::/48,11,2001:500:16::/48
2001:500:17::/48,11,2001:500:17::/48
2001:500:18::/48,3,2001:500:18::/48
2001:500:19::/48,3,2001:500:19::/48
2001:500:1::/48,10,2001:500:1::/48
2001:500:1a::/48,7,2001:500:1a::/48
2001:500:1b::/48,7,2001:500:1b::/48
2001:500:1c::/48,12,2001:500:1c::/48
2001:500:1d::/48,12,2001:500:1d::/48
2001:500:1e::/48,12,2001:500:1e::/48
2001:500:200::/48,6,2001:500:200::/48
2001:500:20::/48,10,2001:500:20::/48
2001:500:21::/48,12,2001:500:21::/48
2001:500:22::/48,2,2001:500:22::/48
2001:500:23::/48,10,2001:500:23::/48
2001:500:24::/48,10,2001:500:24::/48
2001:500:25::/48,10,2001:500:25::/48
2001:500:26::/48,12,2001:500:26::/48
2001:500:27::/48,10,2001:500:27::/48
2001:500:28::/48,15,2001:500:28::/48
2001:500:29::/48,2,2001:500:29::/48
2001:500:2::/48,10,2001:500:2::/48
2001:500:2c::/48,4,2001:500:2c::/48
2001:500:2d::/48,43,2001:500:2d::/48
2001:500:2f::/48,51,2001:500:2f::/48
2001:500:30ff::/48,10,2001:500:30ff::/48
2001:500:3682::/48,21,2001:500:3682::/48
2001:500:3::/48,20,2001:500:3::/48
2001:500:40::/48,17,2001:500:40::/48
2001:500:41::/48,16,2001:500:41::/48
2001:500:42::/48,16,2001:500:42::/48
2001:500:43::/48,17,2001:500:43::/48
2001:500:44::/48,17,2001:500:44::/48
2001:500:46::/48,16,2001:500:46::/48
